frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
16,1,falling,12637.0,17.201,3,99,1259.3,176.4,173.825,137.415,177.1,0.27,174.0,1270.0,263.0,177.1,137.415,1.265,0.533,0.957,0,154.552,2.3551,1.9263,0.0,227.6,,,65.625,
18,2,falling,3559.0,85.691,3,121,1202.9,268.9,177.082,33.533,4.5,0.067,157.6,1183.0,341.0,4.5,33.533,5.281,0.145,0.749,0,77.059,1.1742,0.9604,0.6674,135.1,108.338,324664.9,65.625,4947.27
19,3,falling,12571.0,17.643,3,90,1260.4,190.0,174.065,139.463,179.9,0.253,174.0,1270.0,277.0,179.9,139.463,1.248,0.528,0.948,0,155.806,2.3742,1.9419,1.0011,214.0,97.629,292571.9,65.625,4458.24
20,4,falling,2943.0,84.545,3,112,1195.3,300.0,145.484,37.88,10.2,0.104,148.0,1169.0,370.0,10.2,37.88,3.841,0.177,0.711,0,74.236,1.1312,0.9252,1.3348,104.0,127.82,383047.37,65.625,5836.91
21,5,falling,2606.0,86.626,3,113,1200.7,169.2,139.88,30.662,176.3,0.063,138.7,1198.0,238.0,176.3,30.662,4.562,0.17,0.698,0,65.49,0.9979,0.8162,1.6685,234.8,130.911,392310.96,65.625,5978.07
22,6,falling,2391.0,82.278,3,110,1196.1,314.3,126.541,29.79,6.2,0.164,121.3,1178.0,372.0,6.2,29.79,4.248,0.19,0.78,0,61.398,0.9356,0.7652,2.0022,89.7,145.173,435049.27,65.625,6629.32
24,7,falling,1415.0,90.015,3,114,1196.1,257.6,110.932,22.57,4.9,0.068,124.4,1183.0,316.0,4.9,22.57,4.915,0.146,0.639,0,50.038,0.7625,0.6237,2.6695,146.4,56.7,169916.66,65.625,2589.21
25,8,falling,2342.5,85.798,3,114,1196.2,289.5,146.404,28.203,5.7,0.117,136.6,1178.0,354.0,5.7,28.203,5.191,0.139,0.775,0,64.257,0.9792,0.8009,3.0032,114.5,31.9,95597.32,65.625,1456.72
26,9,falling,2636.0,84.348,3,113,1199.8,280.1,133.416,29.805,3.9,0.124,127.8,1197.0,215.0,3.9,29.805,4.476,0.189,0.81,0,63.059,0.9609,0.7859,3.3369,123.9,10.066,30164.8,65.625,459.65
27,10,falling,3638.0,84.577,3,115,1201.5,141.2,176.374,37.037,176.0,0.094,154.9,1196.0,227.0,176.0,37.037,4.762,0.149,0.749,0,80.823,1.2316,1.0073,3.6706,262.8,138.91,416282.04,65.625,6343.35
28,11,falling,13662.5,17.612,3,95,1261.2,226.2,189.025,139.705,179.1,0.313,192.4,1279.0,130.0,179.1,139.705,1.353,0.487,0.956,0,162.505,2.4763,2.0254,4.0043,177.8,103.871,311275.77,65.625,4743.25
29,12,falling,2943.0,84.469,3,112,1203.6,225.2,133.992,35.884,1.7,0.061,141.2,1187.0,293.0,1.7,35.884,3.734,0.209,0.702,0,69.341,1.0566,0.8642,4.338,178.8,57.609,172639.76,65.625,2630.7
30,13,falling,2036.5,86.372,3,113,1198.6,264.7,124.404,28.206,3.8,0.072,125.8,1183.0,325.0,3.8,28.206,4.411,0.168,0.705,0,59.237,0.9027,0.7383,4.6717,139.3,39.815,119316.85,65.625,1818.16
32,14,falling,3461.0,84.139,3,118,1202.1,157.2,166.269,36.813,176.9,0.101,154.3,1191.0,238.0,176.9,36.813,4.517,0.159,0.731,0,78.236,1.1922,0.9751,5.3391,246.8,107.557,322323.1,65.625,4911.59
33,15,falling,12922.0,16.31,3,95,1257.9,156.8,169.672,141.352,172.9,0.397,170.0,1279.0,72.0,172.9,141.352,1.2,0.572,0.966,0,154.866,2.3599,1.9302,5.6728,247.2,55.801,167223.87,65.625,2548.17
34,16,falling,10112.0,12.837,3,80,1263.3,291.9,143.064,140.194,9.9,0.705,144.0,1264.0,364.0,9.9,140.194,1.02,0.629,0.991,0,141.621,2.158,1.7651,6.0065,112.1,135.208,405186.43,65.625,6174.27
35,17,falling,11582.5,14.305,3,95,1262.5,136.4,156.065,147.412,165.3,0.506,156.0,1264.0,214.0,165.3,147.412,1.059,0.605,0.98,0,151.677,2.3113,1.8904,6.3402,267.6,155.502,466003.36,65.625,7101.0
36,18,falling,2945.5,84.705,3,114,1203.2,199.3,140.427,36.438,179.8,0.088,137.1,1195.0,269.0,179.8,36.438,3.854,0.19,0.709,0,71.533,1.09,0.8916,6.6739,204.7,86.446,259058.29,65.625,3947.55
38,19,falling,13692.0,15.954,3,89,1271.1,255.2,189.031,165.549,6.3,0.287,190.4,1279.0,161.0,6.3,165.549,1.142,0.488,0.967,0,176.901,2.6956,2.2048,7.3412,148.8,87.95,263565.91,65.625,4016.24
39,20,falling,13368.0,16.524,3,89,1262.8,255.5,178.623,149.599,4.5,0.442,180.0,1272.0,346.0,4.5,149.599,1.194,0.533,0.968,0,163.468,2.4909,2.0374,7.6749,148.5,8.305,24889.4,65.625,379.27
41,21,falling,3225.5,86.344,3,112,1194.4,264.9,139.569,43.583,8.0,0.094,153.8,1189.0,185.0,8.0,43.583,3.202,0.211,0.669,0,77.992,1.1884,0.9721,8.3423,139.1,69.043,206905.4,65.625,3152.84
45,22,falling,3549.5,86.587,3,114,1201.6,187.3,191.678,32.921,178.4,0.099,156.1,1188.0,266.0,178.4,32.921,5.822,0.123,0.809,0,79.437,1.2105,0.9901,9.6771,216.7,77.933,233547.92,65.625,3558.83
46,23,falling,3619.0,78.515,3,112,1186.5,89.6,136.523,47.153,166.1,0.113,139.3,1190.0,160.0,166.1,47.153,2.895,0.247,0.739,0,80.234,1.2226,1.0,10.0108,314.4,98.86,296260.34,65.625,4514.44
48,24,falling,13428.5,17.211,3,95,1264.0,236.1,178.181,154.484,178.7,0.375,180.0,1272.0,326.0,178.7,154.484,1.153,0.539,0.971,0,165.91,2.5282,2.0678,10.6782,167.9,165.736,496672.8,65.625,7568.35
49,25,falling,3426.0,86.279,3,116,1200.5,228.2,171.597,35.698,1.2,0.086,161.0,1184.0,146.0,1.2,35.698,4.807,0.148,0.73,0,78.267,1.1926,0.9755,11.0119,175.8,63.99,191761.68,65.625,2922.08
51,26,falling,4669.0,80.187,3,114,1179.9,304.5,138.045,86.88,19.8,0.064,170.2,1154.0,385.0,19.8,86.88,1.589,0.312,0.653,0,109.514,1.6688,1.3649,11.6793,99.5,79.032,236840.32,65.625,3609.0
53,1,spreading,,,,,,404,,,,,,,,,,,0.0,,106,,,1.3211,12.3466,0,,,65.625,
54,2,spreading,,,,,,404,,,,,,,,,,,0.0,,119,,,1.4832,12.6803,0,,,65.625,
55,3,spreading,,,,,,404,,,,,,,,,,,0.0,,170,,,2.1188,13.014,0,,,65.625,
56,4,spreading,,,,,,404,,,,,,,,,,,0.0,,201,,,2.5052,13.3477,0,,,65.625,
57,5,spreading,,,,,,404,,,,,,,,,,,0.0,,222,,,2.7669,13.6814,0,,,65.625,
58,6,spreading,,,,,,404,,,,,,,,,,,0.0,,230,,,2.8666,14.0151,0,,,65.625,
59,7,spreading,,,,,,404,,,,,,,,,,,0.0,,233,,,2.904,14.3488,0,,,65.625,
60,8,spreading,,,,,,404,,,,,,,,,,,0.0,,231,,,2.8791,14.6825,0,,,65.625,
61,9,spreading,,,,,,404,,,,,,,,,,,0.0,,224,,,2.7918,15.0162,0,,,65.625,
62,10,spreading,,,,,,404,,,,,,,,,,,0.0,,212,,,2.6423,15.3499,0,,,65.625,
63,11,spreading,,,,,,404,,,,,,,,,,,0.0,,197,,,2.4553,15.6836,0,,,65.625,
64,12,spreading,,,,,,404,,,,,,,,,,,0.0,,180,,,2.2434,16.0173,0,,,65.625,
65,13,spreading,,,,,,404,,,,,,,,,,,0.0,,164,,,2.044,16.351,0,,,65.625,
66,14,spreading,,,,,,404,,,,,,,,,,,0.0,,153,,,1.9069,16.6846,0,,,65.625,
67,15,spreading,,,,,,404,,,,,,,,,,,0.0,,139,,,1.7324,17.0183,0,,,65.625,
68,16,spreading,,,,,,404,,,,,,,,,,,0.0,,135,,,1.6826,17.352,0,,,65.625,
69,17,spreading,,,,,,404,,,,,,,,,,,0.0,,132,,,1.6452,17.6857,0,,,65.625,
70,18,spreading,,,,,,404,,,,,,,,,,,0.0,,134,,,1.6701,18.0194,0,,,65.625,
71,19,spreading,,,,,,404,,,,,,,,,,,0.0,,134,,,1.6701,18.3531,0,,,65.625,
72,20,spreading,,,,,,404,,,,,,,,,,,0.0,,129,,,1.6078,18.6868,0,,,65.625,
73,21,spreading,,,,,,404,,,,,,,,,,,0.0,,124,,,1.5455,19.0205,0,,,65.625,
74,22,spreading,,,,,,404,,,,,,,,,,,0.0,,124,,,1.5455,19.3542,0,,,65.625,
75,1,rebounding,2077.0,77.616,4,107,1177.4,58.7,103.168,33.016,160.4,0.098,104.0,1183.0,115.0,160.4,33.016,3.125,0.248,0.728,0,58.363,0.8893,0.7274,0.3337,345.3,,,65.625,
76,2,rebounding,4193.5,74.393,4,111,1185.3,63.8,162.347,44.391,163.1,0.115,136.6,1186.0,139.0,163.1,44.391,3.657,0.203,0.787,0,84.893,1.2936,1.0581,0.6674,340.2,9.403,28179.17,65.625,429.4
