frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
13,1,falling,2952.0,85.835,3,116,1201.2,222.3,143.69,37.225,179.3,0.066,151.1,1188.0,297.0,179.3,37.225,3.86,0.182,0.687,0,73.136,1.1145,0.9326,0.0,181.7,,,65.625,
17,2,falling,3774.0,84.151,3,114,1206.4,194.5,176.882,35.249,178.0,0.082,158.1,1193.0,277.0,178.0,35.249,5.018,0.154,0.769,0,78.961,1.2032,1.0069,1.3348,209.5,28.282,84755.0,65.625,1291.5
18,3,falling,2530.0,83.791,3,112,1197.3,295.1,129.109,32.872,5.2,0.08,131.5,1194.0,227.0,5.2,32.872,3.928,0.193,0.685,0,65.146,0.9927,0.8308,1.6685,108.9,101.011,302705.61,65.625,4612.66
19,4,falling,12999.5,18.104,3,92,1258.3,202.1,179.269,133.351,179.1,0.299,180.0,1272.0,292.0,179.1,133.351,1.344,0.515,0.957,0,154.614,2.356,1.9717,2.0022,201.9,111.221,333301.87,65.625,5078.89
20,5,falling,3423.5,85.129,3,113,1204.2,239.9,166.169,34.757,1.3,0.098,148.0,1193.0,309.0,1.3,34.757,4.781,0.158,0.78,0,75.997,1.158,0.9691,2.3359,164.1,65.997,197778.64,65.625,3013.77
21,6,falling,3774.5,83.321,3,114,1196.4,293.0,148.109,48.526,9.7,0.113,157.7,1202.0,210.0,9.7,48.526,3.052,0.219,0.683,0,84.777,1.2918,1.0811,2.6695,111.0,53.67,160835.93,65.625,2450.83
22,7,falling,13609.0,16.894,3,94,1264.6,231.6,187.109,150.242,2.4,0.372,190.0,1278.0,327.0,2.4,150.242,1.245,0.495,0.964,0,167.666,2.5549,2.1381,3.0032,172.4,91.767,275004.56,65.625,4190.55
23,8,falling,12813.5,17.621,3,91,1260.5,213.8,177.858,137.824,1.0,0.279,178.0,1272.0,303.0,1.0,137.824,1.29,0.516,0.953,0,156.567,2.3858,1.9966,3.3369,190.2,18.266,54739.2,65.625,834.12
24,9,falling,3697.0,83.758,3,113,1202.9,281.5,173.804,35.288,3.9,0.129,155.4,1183.0,354.0,3.9,35.288,4.925,0.156,0.822,0,78.315,1.1934,0.9987,3.6706,122.5,88.888,266376.13,65.625,4059.06
26,10,falling,3135.5,83.675,3,116,1188.1,308.6,128.574,57.338,13.0,0.06,154.9,1191.0,232.0,13.0,57.338,2.242,0.241,0.645,0,85.861,1.3084,1.0949,4.338,95.4,30.878,92534.11,65.625,1410.04
27,11,falling,13029.0,16.877,3,94,1262.6,257.5,176.526,147.329,4.9,0.407,178.0,1272.0,347.0,4.9,147.329,1.198,0.532,0.97,0,161.268,2.4574,2.0565,4.6717,146.5,90.341,270730.28,65.625,4125.41
29,12,falling,3321.5,85.388,3,119,1188.7,94.8,125.741,49.224,165.2,0.079,147.8,1188.0,167.0,165.2,49.224,2.554,0.267,0.683,0,78.674,1.1988,1.0033,5.3391,309.2,178.697,535512.19,65.625,8160.19
30,13,falling,3486.5,78.387,3,110,1186.7,328.7,125.546,54.059,16.3,0.08,146.1,1193.0,258.0,16.3,54.059,2.322,0.282,0.679,0,82.382,1.2553,1.0505,5.6728,75.3,233.909,700969.31,65.625,10681.44
31,14,falling,1634.0,89.967,3,118,1197.7,181.8,116.264,26.403,178.2,0.042,123.3,1195.0,246.0,178.2,26.403,4.403,0.154,0.613,0,55.405,0.8443,0.7065,6.0065,222.2,147.311,441457.47,65.625,6726.97
33,15,falling,1521.5,88.624,3,111,1198.8,205.3,98.194,25.447,175.9,0.063,110.4,1198.0,257.0,175.9,25.447,3.859,0.201,0.667,0,49.987,0.7617,0.6374,6.6739,198.7,23.526,70501.12,65.625,1074.3
34,16,falling,1951.0,82.027,3,111,1197.3,303.1,114.71,26.768,5.2,0.126,108.8,1183.0,356.0,5.2,26.768,4.285,0.189,0.799,0,55.412,0.8444,0.7066,7.0076,100.9,97.812,293118.23,65.625,4466.56
35,17,falling,2715.0,84.855,3,113,1199.3,136.5,129.2,32.958,176.6,0.105,130.4,1201.0,201.0,176.6,32.958,3.92,0.207,0.757,0,65.254,0.9943,0.8321,7.3412,267.5,166.612,499297.27,65.625,7608.34
36,18,falling,3659.5,84.192,3,114,1204.4,181.1,174.511,37.468,178.4,0.097,159.1,1188.0,264.0,178.4,37.468,4.658,0.153,0.72,0,80.862,1.2322,1.0312,7.6749,222.9,44.891,134526.78,65.625,2049.93
40,19,falling,13474.0,16.796,3,96,1266.0,275.2,179.193,159.086,9.7,0.397,180.0,1272.0,366.0,9.7,159.086,1.126,0.534,0.972,0,168.84,2.5728,2.1531,9.0097,128.8,112.469,337044.58,65.625,5135.92
41,20,falling,2940.5,82.782,3,112,1195.3,279.5,132.537,39.399,5.5,0.077,135.8,1191.0,210.0,5.5,39.399,3.364,0.213,0.692,0,72.263,1.1012,0.9215,9.3434,124.5,70.831,212262.9,65.625,3234.48
44,21,falling,14209.5,17.527,3,97,1264.9,239.2,191.077,154.652,4.8,0.372,194.0,1278.0,337.0,4.8,154.652,1.236,0.496,0.971,0,171.903,2.6195,2.1921,10.3445,164.8,80.425,241016.24,65.625,3672.63
45,22,falling,4188.0,83.923,3,116,1191.1,292.3,144.257,58.794,11.2,0.086,172.3,1189.0,208.0,11.2,58.794,2.454,0.256,0.703,0,92.095,1.4034,1.1744,10.6782,111.7,90.918,272459.48,65.625,4151.76
