frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
453,1,falling,3250.5,91.626,3,131,1205.5,97.8,144.242,38.49,170.7,0.16,123.3,1199.0,163.0,170.7,38.49,3.748,0.199,0.817,0,74.511,1.1354,0.985,0.0,328.2,,,65.625,
454,2,falling,1380.5,107.31,3,132,1208.3,167.4,102.95,21.301,177.4,0.137,101.2,1204.0,218.0,177.4,21.301,4.833,0.166,0.771,0,46.829,0.7136,0.6191,0.3337,258.6,69.656,208743.66,65.625,3180.86
455,3,falling,2046.5,97.016,3,129,1200.9,324.2,129.927,29.073,9.2,0.091,109.0,1200.0,263.0,9.2,29.073,4.469,0.154,0.755,0,61.46,0.9365,0.8125,0.6674,101.8,156.975,470415.98,65.625,7168.24
456,4,falling,2620.5,105.981,3,134,1210.5,204.4,160.915,28.986,178.5,0.109,141.1,1198.0,277.0,178.5,28.986,5.551,0.129,0.752,0,68.296,1.0407,0.9029,1.0011,221.6,120.184,360163.46,65.625,5488.21
457,5,falling,6310.0,12.243,3,72,1275.1,196.0,122.661,121.246,0.0,0.713,124.0,1276.0,258.0,0.0,121.246,1.012,0.534,0.991,0,121.951,1.8583,1.6122,1.3348,230.0,65.144,195220.88,65.625,2974.79
458,6,falling,4508.0,97.535,3,133,1160.6,339.4,153.417,107.756,31.7,0.098,173.1,1199.0,256.0,31.7,107.756,1.424,0.244,0.571,0,128.575,1.9592,1.6997,1.6685,86.6,183.504,549919.39,65.625,8379.72
460,7,falling,2317.0,106.203,3,135,1201.8,308.5,144.062,27.127,9.6,0.107,136.5,1178.0,374.0,9.6,27.127,5.311,0.142,0.762,0,62.514,0.9526,0.8264,2.3359,117.5,51.5,154333.47,65.625,2351.75
462,8,falling,3746.0,101.051,3,135,1216.4,223.1,212.685,35.488,0.8,0.156,144.1,1198.0,293.0,0.8,35.488,5.993,0.105,0.834,0,86.878,1.3239,1.1485,3.0032,202.9,86.639,259636.92,65.625,3956.37
463,9,falling,1997.5,102.06,3,135,1201.7,98.1,134.14,26.583,171.7,0.11,118.2,1198.0,164.0,171.7,26.583,5.046,0.141,0.766,0,59.715,0.9099,0.7894,3.3369,327.9,125.861,377177.2,65.625,5747.46
464,10,falling,2159.0,97.395,3,129,1198.3,335.1,115.691,31.381,13.2,0.088,110.9,1177.0,385.0,13.2,31.381,3.687,0.205,0.75,0,60.254,0.9182,0.7965,3.6706,90.9,237.024,710306.74,65.625,10823.72
465,11,falling,2937.5,100.016,3,131,1201.6,329.5,158.65,32.49,9.0,0.133,133.0,1178.0,386.0,9.0,32.49,4.883,0.149,0.823,0,71.795,1.094,0.9491,4.0043,96.5,6.5,19478.98,65.625,296.82
466,12,falling,2452.5,99.121,3,130,1199.9,337.5,129.151,31.401,9.7,0.104,121.4,1202.0,272.0,9.7,31.401,4.113,0.187,0.754,0,63.683,0.9704,0.8419,4.338,88.5,8.179,24509.45,65.625,373.48
473,13,falling,2663.5,93.827,3,131,1201.0,82.9,123.183,33.475,171.6,0.166,114.6,1197.0,142.0,171.6,33.475,3.68,0.223,0.83,0,64.215,0.9785,0.8489,6.6739,343.1,254.602,762983.87,65.625,11626.42
474,14,falling,4860.5,94.316,3,135,1219.5,234.3,229.884,43.891,3.1,0.169,148.6,1207.0,157.0,3.1,43.891,5.238,0.117,0.821,0,100.448,1.5306,1.3279,7.0076,191.7,152.526,457085.09,65.625,6965.11
478,15,falling,1111.5,98.76,13,128,1195.6,85.9,81.196,22.283,167.8,0.146,81.5,1200.0,127.0,167.8,22.283,3.644,0.215,0.742,0,42.536,0.6482,0.5623,8.3423,340.1,150.312,450450.69,65.625,6864.01
