frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
3,1,falling,3135.5,101.044,3,132,1206.0,115.2,166.86,33.684,172.4,0.124,136.9,1205.0,189.0,172.4,33.684,4.954,0.143,0.796,0,74.97,1.1424,0.9826,0.0,286.8,,,65.625,
6,2,falling,2860.0,101.855,3,133,1209.3,239.0,140.135,37.97,3.8,0.132,134.1,1193.0,305.0,3.8,37.97,3.691,0.185,0.725,0,72.945,1.1115,0.9561,1.0011,163.0,123.844,371131.47,65.625,5655.34
8,3,falling,7613.5,94.994,2,167,549.8,111.5,103.93,93.37,179.0,0.741,106.0,545.0,164.0,179.0,93.37,1.113,0.897,0.979,0,98.508,1.5011,1.2912,1.6685,290.5,671.712,2012962.87,65.625,30673.72
9,4,falling,7635.0,94.557,2,165,549.9,137.3,104.942,92.708,178.2,0.786,105.6,554.0,85.0,178.2,92.708,1.132,0.883,0.983,0,98.635,1.503,1.2928,2.0022,264.7,25.8,77317.16,65.625,1178.17
11,5,falling,7816.5,101.545,2,167,549.8,185.8,104.862,95.113,176.7,0.798,106.1,552.0,133.0,176.7,95.113,1.102,0.905,0.98,0,99.869,1.5218,1.309,2.6695,216.2,48.5,145343.48,65.625,2214.76
12,6,falling,7932.0,76.375,2,161,549.8,211.7,105.741,95.724,176.6,0.753,107.2,542.0,265.0,176.6,95.724,1.105,0.903,0.981,0,100.608,1.5331,1.3187,3.0032,190.3,25.9,77616.25,65.625,1182.72
15,7,falling,2277.0,104.44,3,132,1209.5,170.0,137.815,29.176,175.8,0.095,123.4,1202.0,234.0,175.8,29.176,4.724,0.153,0.722,0,63.411,0.9663,0.8311,4.0043,232.0,661.017,1980912.47,65.625,30185.33
16,8,falling,3230.0,100.714,3,131,1202.1,320.5,163.964,35.5,11.9,0.111,141.4,1204.0,244.0,11.9,35.5,4.619,0.153,0.749,0,76.294,1.1626,1.0,4.338,81.5,150.682,451558.22,65.625,6880.89
19,9,falling,3543.0,93.856,3,132,1202.3,328.0,150.251,43.954,15.9,0.13,141.4,1161.0,390.0,15.9,43.954,3.418,0.2,0.712,0,81.266,1.2383,1.0652,5.3391,74.0,7.503,22483.74,65.625,342.61
22,10,falling,6967.0,10.678,3,75,1273.2,120.0,126.712,125.435,0.0,0.722,128.0,1274.0,184.0,0.0,125.435,1.01,0.552,0.99,0,126.072,1.9211,1.6524,6.3402,282.0,219.752,658544.53,65.625,10034.96
23,11,falling,2617.5,100.966,3,131,1204.1,317.6,152.767,30.668,9.3,0.158,129.7,1182.0,374.0,9.3,30.668,4.981,0.143,0.771,0,68.447,1.043,0.8971,6.6739,84.4,209.334,627324.02,65.625,9559.22
24,12,falling,1941.0,97.762,3,129,1192.9,65.8,117.584,29.605,164.0,0.149,111.4,1198.0,124.0,164.0,29.605,3.972,0.179,0.763,0,59.0,0.899,0.7733,7.0076,336.2,252.049,755331.89,65.625,11509.82
23,1,spreading,,,,,,402,,,,,,,,,,,0.0,,214,,,2.8049,6.6739,0,,,65.625,
24,2,spreading,,,,,,402,,,,,,,,,,,0.0,,208,,,2.7263,7.0076,0,,,65.625,
25,3,spreading,,,,,,402,,,,,,,,,,,0.0,,431,,,5.6492,7.3412,0,,,65.625,
26,4,spreading,,,,,,402,,,,,,,,,,,0.0,,424,,,5.5574,7.6749,0,,,65.625,
27,5,spreading,,,,,,402,,,,,,,,,,,0.0,,443,,,5.8065,8.0086,0,,,65.625,
28,6,spreading,,,,,,402,,,,,,,,,,,0.0,,447,,,5.8589,8.3423,0,,,65.625,
29,7,spreading,,,,,,402,,,,,,,,,,,0.0,,444,,,5.8196,8.676,0,,,65.625,
30,8,spreading,,,,,,402,,,,,,,,,,,0.0,,436,,,5.7147,9.0097,0,,,65.625,
31,9,spreading,,,,,,402,,,,,,,,,,,0.0,,429,,,5.623,9.3434,0,,,65.625,
32,10,spreading,,,,,,402,,,,,,,,,,,0.0,,427,,,5.5968,9.6771,0,,,65.625,
33,11,spreading,,,,,,402,,,,,,,,,,,0.0,,426,,,5.5837,10.0108,0,,,65.625,
34,12,spreading,,,,,,402,,,,,,,,,,,0.0,,425,,,5.5706,10.3445,0,,,65.625,
35,13,spreading,,,,,,402,,,,,,,,,,,0.0,,425,,,5.5706,10.6782,0,,,65.625,
36,14,spreading,,,,,,402,,,,,,,,,,,0.0,,424,,,5.5574,11.0119,0,,,65.625,
37,15,spreading,,,,,,402,,,,,,,,,,,0.0,,423,,,5.5443,11.3456,0,,,65.625,
38,1,rebounding,1533.5,90.797,3,129,1202.9,118.9,79.931,28.399,171.8,0.223,78.3,1202.0,159.0,171.8,28.399,2.815,0.306,0.831,0,47.644,0.726,0.6245,0.3337,283.1,,,65.625,
39,2,rebounding,3123.0,9.888,3,68,1230.0,22.1,67.104,67.003,90.0,0.857,68.0,1260.0,6.0,90.0,67.003,1.002,0.883,0.984,0,67.053,1.0218,0.8789,0.6674,379.9,100.522,301240.63,65.625,4590.33
