frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
281,1,falling,1928.5,82.129,3,113,1190.7,335.8,118.153,31.491,12.0,0.085,125.4,1194.0,273.0,12.0,31.491,3.752,0.176,0.663,0,60.998,0.9295,0.8472,0.0,167.2,,,65.625,
282,2,falling,1516.5,88.818,3,115,1204.1,210.4,114.157,24.112,0.5,0.071,118.0,1194.0,269.0,0.5,24.112,4.734,0.148,0.667,0,52.465,0.7995,0.7287,0.3337,292.6,126.114,377933.96,65.625,5758.99
283,3,falling,1852.5,85.451,3,114,1198.3,102.7,108.32,26.357,171.5,0.105,112.4,1200.0,160.0,171.5,26.357,4.11,0.201,0.753,0,53.432,0.8142,0.7421,0.6674,400.3,107.856,323219.43,65.625,4925.25
284,4,falling,10827.0,12.566,3,87,1264.8,108.1,151.074,146.774,173.0,0.606,152.0,1266.0,184.0,173.0,146.774,1.029,0.604,0.987,0,148.908,2.2691,2.0681,1.0011,394.9,66.719,199940.93,65.625,3046.72
285,5,falling,2424.5,79.693,3,120,1173.2,399.8,119.652,32.372,21.0,0.089,122.4,1188.0,336.0,21.0,32.372,3.696,0.216,0.757,0,62.236,0.9484,0.8644,1.3348,103.2,305.744,916243.65,65.625,13961.81
286,6,falling,1266.5,86.689,3,115,1199.0,294.0,89.522,24.043,8.6,0.072,95.3,1206.0,250.0,8.6,24.043,3.723,0.201,0.64,0,46.394,0.707,0.6443,1.6685,209.0,108.9,326348.83,65.625,4972.93
287,7,falling,12412.5,16.245,3,85,1258.9,321.3,164.896,143.623,9.3,0.404,164.0,1264.0,404.0,9.3,143.623,1.148,0.581,0.966,0,153.892,2.345,2.1373,2.0022,181.7,65.828,197270.56,65.625,3006.03
288,8,falling,2714.0,85.42,3,117,1203.9,130.2,144.455,31.54,173.0,0.075,136.8,1199.0,204.0,173.0,31.54,4.58,0.166,0.753,0,67.499,1.0286,0.9374,2.3359,372.8,198.857,595928.77,65.625,9080.82
289,9,falling,2093.5,85.564,3,113,1207.9,217.4,123.401,27.893,179.3,0.103,121.0,1198.0,278.0,179.3,27.893,4.424,0.175,0.73,0,58.669,0.894,0.8148,2.6695,285.6,87.292,261592.83,65.625,3986.18
291,10,falling,2462.5,89.231,3,115,1204.9,192.5,126.18,34.892,178.9,0.071,144.2,1199.0,265.0,178.9,34.892,3.616,0.197,0.649,0,66.352,1.0111,0.9215,3.3369,310.5,25.08,75159.12,65.625,1145.28
292,11,falling,3136.5,82.293,3,123,1163.3,417.7,161.324,34.485,30.6,0.072,148.2,1110.0,482.0,30.6,34.485,4.678,0.153,0.744,0,74.588,1.1366,1.0359,3.6706,85.3,229.01,686289.62,65.625,10457.75
293,12,falling,1627.0,89.551,3,117,1203.7,254.5,112.274,24.398,3.3,0.093,119.3,1201.0,196.0,3.3,24.398,4.602,0.164,0.682,0,52.338,0.7975,0.7269,4.0043,248.5,168.126,503834.79,65.625,7677.48
294,13,falling,12008.0,17.282,3,93,1264.1,265.2,173.227,140.891,6.1,0.361,174.0,1274.0,353.0,6.1,140.891,1.23,0.51,0.958,0,156.224,2.3806,2.1697,4.338,237.8,61.34,183822.99,65.625,2801.11
295,14,falling,1223.0,86.662,3,114,1198.7,294.8,93.069,24.975,10.5,0.082,106.7,1181.0,346.0,10.5,24.975,3.726,0.18,0.617,0,48.212,0.7347,0.6696,4.6717,208.2,71.787,215127.76,65.625,3278.14
297,15,falling,9851.0,12.737,3,87,1273.3,263.8,154.553,147.608,7.6,0.579,156.0,1276.0,342.0,7.6,147.608,1.047,0.525,0.987,0,151.041,2.3016,2.0977,5.3391,239.2,80.785,242092.74,65.625,3689.03
298,16,falling,2792.0,84.38,3,115,1193.9,95.7,132.868,41.421,165.7,0.089,145.8,1197.0,169.0,165.7,41.421,3.208,0.201,0.66,0,74.186,1.1305,1.0303,5.6728,407.3,185.908,557124.36,65.625,8489.51
299,17,falling,5362.0,72.81,3,118,1155.7,429.6,151.676,67.067,35.7,0.101,162.2,1086.0,491.0,35.7,67.067,2.262,0.297,0.716,0,100.859,1.5369,1.4008,6.0065,73.4,336.078,1007147.41,65.625,15347.01
301,18,falling,1703.0,88.033,3,117,1201.2,262.5,103.672,30.202,6.8,0.092,117.3,1189.0,321.0,6.8,30.202,3.433,0.202,0.632,0,55.956,0.8527,0.7771,6.6739,240.5,173.184,518991.68,65.625,7908.44
