frame,slice,phase,area,mean,min,max,X,Y,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,AR,roundness,solidity,length,D_px,D_mm,beta,time_ms,Y_dist_px,dist_travelled_px,velocity_px_s,px_per_mm,velocity_mm_s
46,1,falling,1937.5,95.238,3,128,1216.4,160.0,132.232,26.247,175.1,0.099,121.6,1212.0,224.0,175.1,26.247,5.038,0.141,0.696,0,58.913,0.8977,0.6908,0.0,321.0,,,65.625,
51,2,falling,1873.5,96.845,3,128,1215.6,246.7,117.173,31.577,4.5,0.077,134.2,1203.0,312.0,4.5,31.577,3.711,0.174,0.624,0,60.827,0.9269,0.7133,1.6685,234.3,86.704,259830.72,65.625,3959.33
53,3,falling,1283.5,89.951,3,126,1212.3,120.4,86.724,26.1,168.3,0.079,90.6,1214.0,167.0,168.3,26.1,3.323,0.217,0.664,0,47.576,0.725,0.5579,2.3359,360.6,126.343,378620.78,65.625,5769.46
56,4,falling,7216.0,7.857,3,72,1271.1,82.0,126.77,125.085,178.8,0.724,128.0,1272.0,146.0,178.8,125.085,1.013,0.572,0.99,0,125.925,1.9189,1.4766,3.3369,399.0,70.228,210457.51,65.625,3206.97
60,5,falling,1323.0,98.484,3,125,1214.9,220.4,94.944,33.817,176.6,0.087,110.4,1212.0,277.0,176.6,33.817,2.808,0.187,0.551,0,56.663,0.8634,0.6644,4.6717,260.6,149.375,447643.09,65.625,6821.23
61,6,falling,919.5,91.385,4,121,1191.3,376.4,89.797,20.949,15.5,0.046,92.7,1205.0,328.0,15.5,20.949,4.286,0.145,0.567,0,43.373,0.6609,0.5086,5.0054,104.6,157.775,472814.92,65.625,7204.8
67,7,falling,2447.5,95.371,3,129,1211.9,121.0,150.837,28.786,169.3,0.099,142.4,1214.0,197.0,169.3,28.786,5.24,0.137,0.727,0,65.893,1.0041,0.7727,7.0076,360.0,256.229,767859.76,65.625,11700.72
70,8,falling,1789.5,93.602,3,127,1219.1,193.3,110.242,27.634,175.5,0.094,109.6,1216.0,248.0,175.5,27.634,3.989,0.187,0.686,0,55.195,0.8411,0.6472,8.0086,287.7,72.658,217737.93,65.625,3317.91
73,9,falling,1728.0,92.628,3,123,1201.7,75.8,118.67,26.382,164.9,0.081,118.8,1205.0,137.0,164.9,26.382,4.498,0.156,0.667,0,55.953,0.8526,0.6561,9.0097,405.2,118.781,355959.98,65.625,5424.15
74,10,falling,3313.5,82.174,3,153,739.4,150.2,88.702,70.384,41.0,0.113,101.4,767.0,107.0,41.0,70.384,1.26,0.536,0.572,0,79.014,1.204,0.9265,9.3434,330.8,468.248,1403231.39,65.625,21382.57
75,11,falling,799.5,99.531,3,125,1211.4,167.3,77.574,22.241,172.8,0.056,93.4,1211.0,213.0,172.8,22.241,3.488,0.169,0.514,0,41.537,0.6329,0.4871,9.6771,313.7,472.31,1415401.75,65.625,21568.03
76,12,falling,1480.0,94.761,3,127,1215.2,271.7,105.137,24.452,6.5,0.08,99.6,1214.0,220.0,6.5,24.452,4.3,0.17,0.691,0,50.703,0.7726,0.5946,10.0108,209.3,104.469,313069.6,65.625,4770.58
77,13,falling,2460.5,91.505,3,126,1208.6,95.9,140.686,30.727,168.9,0.124,125.4,1210.0,166.0,168.9,30.727,4.579,0.158,0.763,0,65.748,1.0019,0.771,10.3445,385.1,175.924,527202.69,65.625,8033.56
78,14,falling,2231.0,91.961,3,124,1210.9,304.6,122.821,33.375,12.5,0.091,126.5,1186.0,365.0,12.5,33.375,3.68,0.188,0.693,0,64.025,0.9756,0.7508,10.6782,176.4,208.713,625463.15,65.625,9530.87
79,15,falling,854.0,89.232,3,120,1200.6,93.4,70.372,24.422,165.4,0.109,77.9,1204.0,133.0,165.4,24.422,2.881,0.22,0.633,0,41.456,0.6317,0.4861,11.0119,387.6,211.451,633669.3,65.625,9655.91
80,16,falling,1415.5,97.112,3,128,1218.2,173.9,107.809,22.686,173.2,0.132,103.5,1215.0,228.0,173.2,22.686,4.752,0.155,0.732,0,49.454,0.7536,0.5799,11.3456,307.1,82.402,246938.1,65.625,3762.87
81,17,falling,5908.0,12.05,3,70,1274.7,244.0,118.555,116.062,1.6,0.701,120.0,1276.0,304.0,1.6,116.062,1.021,0.535,0.991,0,117.302,1.7875,1.3755,11.6793,237.0,90.035,269813.18,65.625,4111.44
82,18,falling,5869.5,82.783,0,152,743.2,335.1,95.835,78.154,2.7,0.642,100.1,741.0,385.0,2.7,78.154,1.226,0.814,0.968,0,86.544,1.3188,1.0148,12.0129,145.9,539.251,1616008.82,65.625,24624.9
84,19,falling,4180.5,83.834,0,155,736.0,376.2,93.435,77.834,114.2,0.104,104.8,775.0,413.0,114.2,77.834,1.2,0.61,0.611,0,85.279,1.2995,1.0,12.6803,104.8,41.726,125042.75,65.625,1905.41
85,1,spreading,,,,,,481,,,,,,,,,,,0.0,,86,,,1.0085,13.014,0,,,65.625,
86,2,spreading,,,,,,481,,,,,,,,,,,0.0,,115,,,1.3485,13.3477,0,,,65.625,
87,3,spreading,,,,,,481,,,,,,,,,,,0.0,,155,,,1.8176,13.6814,0,,,65.625,
88,4,spreading,,,,,,481,,,,,,,,,,,0.0,,186,,,2.1811,14.0151,0,,,65.625,
89,5,spreading,,,,,,481,,,,,,,,,,,0.0,,203,,,2.3804,14.3488,0,,,65.625,
90,6,spreading,,,,,,481,,,,,,,,,,,0.0,,210,,,2.4625,14.6825,0,,,65.625,
91,7,spreading,,,,,,481,,,,,,,,,,,0.0,,212,,,2.486,15.0162,0,,,65.625,
92,8,spreading,,,,,,481,,,,,,,,,,,0.0,,207,,,2.4273,15.3499,0,,,65.625,
93,9,spreading,,,,,,481,,,,,,,,,,,0.0,,197,,,2.3101,15.6836,0,,,65.625,
94,10,spreading,,,,,,481,,,,,,,,,,,0.0,,182,,,2.1342,16.0173,0,,,65.625,
95,11,spreading,,,,,,481,,,,,,,,,,,0.0,,165,,,1.9348,16.351,0,,,65.625,
